Cust_Id,Age,MonthlyIncome_EUR,MinBal_EUR,MaxBal_EUR,Age_with_Bank
100001,26,2315,217,4646,3
100002,24,2294,477,5541,1
100003,27,1891,265,5131,1
100004,31,2391,316,2136,1
100005,24,1708,426,4155,3
100006,24,1984,290,5708,2
100007,31,1540,0,5273,5
100008,28,2714,482,3054,1
100009,23,2124,520,5269,5
100010,27,2915,0,6193,0
100011,23,2465,117,2694,2
100012,23,2348,654,874,0
100013,25,2007,341,7782,0
100018,26,1699,471,6426,0
100021,30,2930,609,7560,2
100022,24,2268,198,6026,6
100023,25,2249,353,5868,1
100026,25,2654,331,3634,1
100028,26,1905,240,5991,0
100030,23,2052,275,5025,1
100032,32,2591,12,8555,3
100033,24,1767,311,4203,5
100035,28,2440,177,5809,4
100037,25,2495,253,2199,0
100040,25,1698,381,2234,0
100041,27,2085,32,6046,1
100042,25,2176,189,6984,3
100043,24,1318,745,4678,1
100044,23,1842,358,6190,5
100047,23,1967,340,7263,0
100048,29,1930,318,1625,6
100049,26,2470,197,3084,1
100051,26,1516,758,7155,2
100052,23,2081,254,1895,0
100054,27,1735,462,462,3
100055,29,2389,485,5657,0
100056,28,2489,188,4905,2
100058,23,2566,288,3258,1
100059,26,2610,374,3326,2
100060,28,1498,300,4122,0
100061,23,2349,276,8174,2
100062,24,2025,349,6023,2
100065,28,1629,263,4926,1
100066,30,1622,146,2518,1
100067,24,2409,396,3985,5
100068,29,2361,376,3478,1
100069,26,2245,302,5404,1
100071,26,2445,299,2952,2
100072,31,2425,45,5233,2
100073,24,2228,261,4401,2
100074,31,1811,505,3204,3
100076,28,2476,284,3203,3
100077,25,2638,401,6007,2
100078,23,2092,764,5272,0
100079,25,2118,511,3103,2
100081,24,2291,391,2377,1
100082,26,2008,0,3772,2
100083,30,1245,116,4727,0
100087,28,1848,306,4440,0
100088,26,2155,299,4657,0
100090,27,2529,115,2282,3
100091,25,2218,260,6947,4
100092,28,1938,82,7525,3
100094,23,2486,509,5370,0
100095,23,2398,268,7056,0
100097,26,1881,320,7311,0
100098,26,2807,233,5920,0
100099,25,1625,124,5334,0
100100,24,2434,230,4047,5
100102,23,1939,402,3672,1
100103,23,2715,321,5048,0
100105,24,2020,34,3697,2
100106,26,2029,452,898,3
100107,32,2233,103,4139,0
100108,25,2370,472,2617,2
100109,26,2613,388,2426,1
100110,24,2049,0,3224,1
100112,24,2252,474,2444,4
100113,25,2049,520,2858,0
100114,34,1771,166,5808,0
100115,24,2298,331,3084,4
100116,26,2130,422,2415,2
100117,24,2301,429,5996,0
100119,29,2361,225,4621,0
100120,28,1765,473,4086,4
100121,28,1927,474,5283,1
100123,30,2775,163,4272,1
100125,27,2555,539,5050,2
100126,33,2668,466,3871,4
100129,25,2669,0,3918,2
100132,25,2786,328,6767,0
100134,26,2035,128,4141,0
100136,31,2140,475,3180,0
100138,23,2716,208,3567,0
100139,28,2042,302,5379,0
100141,25,2258,346,5889,0
100142,30,2125,299,3774,3
100144,25,2009,390,7970,4
100145,26,2427,89,1354,3
100146,28,2674,411,4329,3
100149,27,2210,0,5254,2
100150,26,1515,118,6573,1
100151,26,2053,282,848,1
100152,26,1627,477,708,2
100154,25,1946,397,4057,6
100155,26,2745,0,4666,1
100157,32,1987,229,4582,1
100158,26,1846,667,7032,0
100160,27,2165,297,4857,2
