customer_id,age,gender,annual_value_eur,recency_days,visit_frequency,distance_km,customer_vintage_months,campaign_response
CUST_100000,56,Female,1571,60,10,5.8,29,1
CUST_100001,69,Female,939,125,7,4.6,9,1
CUST_100002,46,Female,2143,116,1,3.9,32,1
CUST_100003,32,Female,736,173,12,5.6,22,0
CUST_100004,60,Female,1606,187,7,3.3,86,1
CUST_100005,25,Female,1889,88,11,0.4,58,1
CUST_100006,38,Male,1112,203,8,3.6,57,1
CUST_100007,56,Female,644,361,3,7.2,98,0
CUST_100008,36,Female,1778,311,9,6.9,10,0
CUST_100009,40,Male,1302,320,8,3.4,25,0
CUST_100010,28,Female,1607,182,2,0.4,62,1
CUST_100011,28,Female,1145,352,6,5.2,63,1
CUST_100012,41,Male,2066,168,4,6.0,76,1
CUST_100013,70,Male,141,181,3,2.5,115,1
CUST_100014,53,Male,1388,300,11,3.9,3,1
CUST_100015,57,Female,1871,130,6,7.9,83,1
CUST_100016,41,Male,1253,149,10,4.7,97,1
CUST_100017,20,Female,1351,306,13,2.9,47,1
CUST_100018,39,Female,983,209,9,5.1,55,1
CUST_100019,70,Female,1210,111,2,1.6,26,0
CUST_100020,19,Female,364,137,10,1.8,13,1
CUST_100021,41,Male,841,355,10,7.4,7,0
CUST_100022,61,Male,807,211,10,2.1,34,0
CUST_100023,47,Female,1535,146,5,2.6,22,1
CUST_100024,55,Male,914,84,6,4.4,84,0
CUST_100025,19,Female,929,30,4,7.2,107,1
CUST_100026,38,Female,1011,65,7,6.3,23,1
CUST_100027,50,Female,826,24,2,0.5,48,0
CUST_100028,29,Male,1335,211,7,5.6,14,1
CUST_100029,39,Female,1389,222,2,4.1,94,1
CUST_100030,61,Female,1613,90,1,3.9,87,0
CUST_100031,42,Male,1526,106,11,5.6,111,1
CUST_100032,66,Male,1476,172,5,1.7,52,0
CUST_100033,44,Male,1036,230,2,7.9,83,1
CUST_100034,59,Male,1003,77,8,5.2,39,1
CUST_100035,45,Female,764,68,12,3.1,41,1
CUST_100036,33,Male,755,353,12,4.9,36,0
CUST_100037,32,Female,1297,92,12,1.9,6,1
CUST_100038,64,Male,840,88,8,5.1,23,0
CUST_100039,68,Male,1934,50,1,0.4,10,1
CUST_100040,61,Male,1181,103,4,2.9,99,1
CUST_100041,72,Male,1951,46,14,6.0,85,1
CUST_100042,69,Male,1486,179,9,6.5,96,1
CUST_100043,74,Male,811,267,5,2.2,60,0
CUST_100044,20,Female,1169,268,12,4.4,30,1
CUST_100045,54,Male,363,320,11,4.3,97,0
CUST_100046,68,Male,1295,8,10,3.5,70,1
CUST_100047,24,Male,857,265,13,2.0,5,0
CUST_100048,38,Male,643,78,6,5.7,119,1
CUST_100049,26,Female,1961,240,3,2.2,79,1
CUST_100050,56,Male,1715,258,5,7.3,57,0
CUST_100051,35,Male,1702,196,14,4.3,43,1
CUST_100052,21,Male,1591,330,12,7.0,52,0
CUST_100053,42,Male,583,131,13,2.5,89,1
CUST_100054,31,Female,1000,343,13,6.5,77,1
CUST_100055,67,Male,1030,261,13,1.1,6,1
CUST_100056,26,Female,345,242,1,6.2,101,0
CUST_100057,43,Male,921,171,8,3.2,2,0
CUST_100058,70,Female,927,147,11,3.9,17,1
CUST_100059,19,Female,1263,270,6,1.5,88,0
CUST_100060,37,Male,2466,149,12,0.3,12,1
CUST_100061,45,Male,1190,299,2,5.4,44,0
CUST_100062,64,Female,1263,28,4,4.8,54,1
CUST_100063,24,Female,1075,149,4,5.1,78,1
CUST_100064,61,Male,1569,280,9,2.2,7,1
CUST_100065,25,Female,663,182,9,2.1,118,1
CUST_100066,64,Female,2148,166,5,6.7,90,1
CUST_100067,52,Female,1138,17,12,6.1,32,1
CUST_100068,31,Male,1002,150,3,2.8,29,0
CUST_100069,34,Female,1685,339,1,5.2,46,0
CUST_100070,53,Female,755,45,6,6.7,103,0
CUST_100071,67,Female,1560,330,8,7.1,73,0
CUST_100072,57,Male,1903,189,1,0.2,78,1
CUST_100073,21,Male,1079,139,11,6.5,53,1
CUST_100074,19,Female,2226,61,1,2.9,81,1
CUST_100075,23,Male,1522,294,11,5.8,113,1
CUST_100076,71,Female,1528,322,7,3.1,25,1
CUST_100077,59,Male,1883,33,7,4.9,53,1
CUST_100078,21,Male,2015,299,2,5.2,94,1
CUST_100079,71,Female,1331,112,3,3.4,109,1
CUST_100080,46,Male,1598,291,2,4.2,29,0
CUST_100081,35,Male,1898,37,6,5.9,93,1
CUST_100082,43,Male,619,100,13,3.9,82,1
CUST_100083,61,Female,335,23,13,0.3,95,0
CUST_100084,51,Male,1171,218,8,0.3,83,1
CUST_100085,27,Male,323,89,8,5.4,81,0
CUST_100086,53,Female,1043,209,1,6.8,6,0
CUST_100087,31,Male,1357,271,11,6.3,76,1
CUST_100088,48,Male,1062,237,9,2.6,38,1
CUST_100089,65,Male,1129,209,11,3.9,3,0
CUST_100090,32,Male,699,278,8,2.0,111,1
CUST_100091,25,Male,1594,206,9,7.9,35,0
CUST_100092,31,Female,668,78,13,2.2,55,1
CUST_100093,40,Female,149,328,14,3.4,47,0
CUST_100094,74,Male,1096,98,13,5.5,33,1
CUST_100095,57,Male,1658,346,9,7.0,117,0
CUST_100096,38,Male,1240,350,11,0.6,93,1
CUST_100097,33,Female,618,336,12,2.5,3,0
CUST_100098,62,Female,1251,94,6,4.6,69,1
CUST_100099,35,Male,1419,80,3,5.0,59,1
CUST_100100,64,Male,1245,38,1,0.7,78,1
CUST_100101,70,Female,1068,228,11,5.4,100,1
CUST_100102,41,Male,1443,134,8,4.3,118,1
CUST_100103,43,Female,331,196,10,6.7,92,1
CUST_100104,42,Female,753,282,3,1.9,105,0
CUST_100105,62,Male,547,101,13,1.7,96,0
CUST_100106,58,Female,1874,75,7,6.4,18,1
CUST_100107,46,Male,1556,294,13,5.7,106,1
CUST_100108,32,Male,1293,208,10,6.4,104,0
CUST_100109,62,Male,475,83,6,6.3,77,0
CUST_100110,18,Male,1572,143,3,1.0,66,1
CUST_100111,42,Male,1893,56,6,2.4,116,1
CUST_100112,24,Male,1486,361,12,2.2,25,1
CUST_100113,26,Female,1182,287,3,7.5,20,0
CUST_100114,41,Female,1516,211,13,4.0,71,0
CUST_100115,18,Female,1336,179,13,1.1,75,1
CUST_100116,61,Female,1663,58,14,2.5,69,1
CUST_100117,25,Male,1652,73,9,7.0,29,1
CUST_100118,41,Female,1089,215,13,6.8,18,1
CUST_100119,28,Female,870,266,1,7.2,72,0
CUST_100120,68,Female,1000,73,13,3.2,27,1
CUST_100121,34,Male,1468,271,8,5.2,42,1
CUST_100122,25,Female,1030,354,5,2.4,66,0
CUST_100123,52,Male,825,234,4,1.6,99,1
CUST_100124,52,Female,1200,319,1,0.4,26,0
CUST_100125,50,Male,1754,19,9,1.9,23,1
CUST_100126,22,Male,1268,113,13,4.9,5,1
CUST_100127,59,Female,1062,63,9,7.3,80,1
CUST_100128,56,Male,1360,184,13,1.2,106,1
CUST_100129,58,Male,1242,277,5,7.4,11,0
CUST_100130,45,Female,233,162,14,2.9,19,1
CUST_100131,24,Female,1548,243,11,3.5,80,1
CUST_100132,26,Female,1404,145,9,3.0,96,1
CUST_100133,25,Male,1208,146,10,3.4,12,0
CUST_100134,29,Male,1731,81,14,2.2,2,1
CUST_100135,51,Male,1806,322,9,5.6,43,1
CUST_100136,50,Female,1599,321,7,6.1,22,0
CUST_100137,65,Male,775,43,8,6.6,26,0
CUST_100138,72,Male,792,313,1,2.9,33,0
CUST_100139,40,Male,1759,293,4,6.2,24,0
CUST_100140,41,Male,261,176,10,5.2,69,0
CUST_100141,54,Male,1126,69,10,7.7,21,0
CUST_100142,52,Male,1420,56,4,3.5,46,1
CUST_100143,61,Male,325,119,12,7.9,18,0
CUST_100144,57,Female,1317,204,9,6.0,103,1
CUST_100145,39,Female,1677,55,3,6.3,5,0
CUST_100146,44,Female,457,38,12,0.4,8,1
CUST_100147,52,Male,2029,243,10,4.1,85,1
CUST_100148,18,Male,695,201,10,4.3,111,0
CUST_100149,52,Female,1487,236,1,0.5,57,0
CUST_100150,54,Male,1158,15,11,2.6,5,0
CUST_100151,64,Female,1235,144,5,7.7,13,0
CUST_100152,31,Male,558,77,7,3.5,83,1
CUST_100153,20,Male,1830,309,12,1.7,93,1
CUST_100154,18,Female,1363,263,4,4.2,66,0
CUST_100155,22,Female,2010,185,9,0.5,37,1
CUST_100156,43,Female,571,55,6,4.2,90,1
CUST_100157,72,Female,1109,308,6,4.8,29,0
CUST_100158,31,Female,1305,4,3,3.0,69,1
CUST_100159,56,Male,1230,299,10,6.1,32,0
CUST_100160,44,Male,1533,40,10,1.3,102,1
CUST_100161,26,Male,1103,230,5,7.0,48,0
CUST_100162,32,Female,2261,286,10,7.7,2,1
CUST_100163,32,Female,1220,138,6,0.2,69,1
CUST_100164,43,Female,100,103,14,6.8,111,1
CUST_100165,59,Female,1242,7,4,4.1,97,0
CUST_100166,30,Female,1831,164,13,3.8,51,1
CUST_100167,68,Female,738,276,3,2.1,35,0
CUST_100168,49,Male,707,49,5,3.7,83,1
CUST_100169,56,Male,780,96,7,7.6,15,0
CUST_100170,66,Male,662,59,11,1.8,99,1
CUST_100171,69,Male,960,231,6,1.6,72,1
CUST_100172,49,Male,1655,177,2,2.1,111,1
CUST_100173,21,Female,1963,90,1,4.5,65,1
CUST_100174,47,Female,100,282,5,7.5,38,0
CUST_100175,54,Female,1011,36,5,4.7,86,0
CUST_100176,40,Female,1351,171,12,2.1,17,1
CUST_100177,56,Female,1301,126,12,3.6,80,1
CUST_100178,62,Female,2150,299,6,3.2,45,1
CUST_100179,32,Male,195,355,3,0.6,1,1
CUST_100180,60,Female,100,204,1,4.2,3,0
CUST_100181,46,Female,2231,289,4,1.2,70,1
CUST_100182,53,Female,1577,356,4,6.8,52,0
CUST_100183,30,Female,914,97,10,4.5,53,1
CUST_100184,49,Male,1286,238,2,6.8,3,1
CUST_100185,24,Male,1322,173,14,7.7,111,1
CUST_100186,68,Female,902,301,8,7.6,94,0
CUST_100187,39,Male,1271,88,6,1.0,47,1
CUST_100188,45,Male,1377,351,12,7.6,75,1
