Cust_ID,Age,BillAmt_Product,BillAmt_Service,BillAmt_Pre,Vintage
82078,49,81128,48203,62975,5
57215,34,59480,17263,23634,5
66970,58,65363,30661,45889,6
77319,48,84073,47181,43186,7
29564,26,10541,3551,12753,1
40744,30,54889,17371,32344,3
20456,28,10927,4281,13746,1
50315,40,49047,18509,23435,2
54708,30,42587,14190,36112,4
19929,26,17964,4856,14794,1
47533,39,42544,15437,31854,5
64877,30,28264,12075,30821,3
46795,40,48294,16272,21082,4
31796,27,6018,2543,11683,1
18771,27,13607,2669,12854,1
12951,27,15497,3053,10627,1
60076,34,38369,12622,20900,3
45222,38,57508,16366,37039,2
54277,33,38557,14120,36115,4
27421,29,15335,3383,14501,1
79159,64,87724,39457,58347,5
80555,51,68105,30027,41786,5
75696,50,88515,47846,60473,5
61129,30,39904,14488,36176,3
49818,36,44034,18963,24329,4
69224,55,78802,37319,10567,6
15222,25,13037,4476,10137,1
57842,35,48117,13365,38254,5
43664,43,52269,13749,36499,3
54488,43,42446,13796,29620,3
44537,36,48407,14463,26541,4
84753,53,76535,48152,57741,5
49512,44,48716,18874,35496,3
43981,41,55262,14244,33118,5
31522,27,15386,4911,13034,1
45388,31,49685,16787,27672,3
18828,27,16209,3557,10400,1
35471,25,17238,3125,11149,1
77015,65,97042,40210,54977,8
59794,44,46677,17635,34919,4
49836,35,57575,16859,20652,2
53470,41,42939,17244,23777,2
42574,30,55237,15668,38972,3
69436,57,95622,35027,51472,8
80075,63,90185,32708,62083,7
35157,25,6501,2573,12065,1
66157,61,79384,39068,64540,5
76042,45,91615,34548,45221,6
24618,28,5084,4451,13270,1
70890,46,71299,30624,56652,5
57362,44,35296,14074,30238,4
55228,34,29190,17871,36270,3
49284,38,53005,15307,36679,2
88205,54,88269,32112,68729,8
47155,43,56150,19569,33205,4
77302,53,87757,41800,65798,8
72436,56,77024,42792,48837,8
28353,27,8205,4478,10392,1
54143,40,52941,17712,22571,5
14896,29,9410,3065,10611,1
72561,51,74760,31485,47529,7
90585,49,74073,45400,56379,8
49394,40,31561,14860,24192,5
69227,65,68202,41495,41299,5
73902,56,97778,35691,67672,5
52010,42,32695,16031,24065,2
43593,37,30498,19194,38173,5
79376,47,90333,46649,67183,7
24312,28,13556,4712,13527,1
15315,28,8670,4092,11554,1
69028,54,68616,32044,61122,5
85359,59,92848,34368,44412,8
60670,37,33312,17470,28824,4
24116,29,16754,4301,14818,1
71672,61,74214,39725,48644,7
45109,33,54902,14000,38907,4
12984,28,10036,4495,13614,2
28806,29,12564,4114,10361,1
26157,29,8451,4319,12260,1
80825,63,67363,38370,65155,5
51876,40,56430,17531,38127,5
78944,48,84359,33182,57822,7
20462,29,10798,2564,12250,1
60679,32,32343,16034,21018,3
19484,26,20048,2656,13582,1
12546,26,12143,3190,11498,1
71723,46,88910,44397,58851,7
41174,35,43547,18091,24524,3
39867,36,59055,12075,33032,2
13659,25,9375,4117,10162,1
90853,59,73565,32501,48261,6
82578,60,84201,33368,62293,7
28062,26,19488,3385,12463,1
23599,26,7889,3834,13261,1
91411,50,74161,41756,62693,6
57744,38,43812,19022,32010,3
60671,45,46151,17938,30521,2
39817,40,40292,15937,38812,4
76654,46,90543,45247,53707,8
34378,28,11031,3471,12889,1
31507,29,9085,3498,13057,1
66602,53,99947,45121,62810,8
49126,31,47756,15448,20013,4
30602,26,7895,2776,12472,1
52588,35,43666,13672,32803,2
28234,27,9499,4823,11826,1
24475,28,7950,4397,14039,1
61271,31,5007,14302,22466,4
41611,32,25079,15483,31144,5
89415,45,73052,48277,67889,7
66772,64,78272,33098,40251,5
51666,34,58669,12795,21892,3
70360,56,89801,36223,48679,6
16705,27,9787,3346,11181,1
67286,58,91334,35426,63929,7
19388,28,18138,3064,13814,1
30821,28,12504,2565,10795,1
87181,45,99144,38534,64921,6
38770,27,9571,3065,10101,1
48203,35,39667,19514,33703,3
48388,41,59003,19167,38067,4
26114,27,13554,4010,10051,1
64038,42,56087,15856,35047,5
24507,28,12669,4496,13859,1
91299,58,85823,49736,50657,6
26830,26,12033,4483,11388,1
54938,39,49773,14805,21346,5
19347,26,6247,2753,10861,1
54672,35,33777,18509,31952,2
15249,27,13910,2677,10890,1
85627,63,81562,47328,47237,6
53190,44,51109,19224,37397,3
19231,25,11185,3198,12786,1
12592,25,6146,3276,10314,1
39934,31,56142,13202,34848,5
68544,52,65116,48406,66503,8
77328,55,84712,49091,48776,5
75854,57,90744,48421,68969,6
55435,31,47675,19099,25022,4
59314,41,25692,16121,27800,4
61126,44,48951,14804,28383,2
48717,30,32856,19108,36916,3
24806,25,7840,3870,12539,1
84901,61,97938,42672,48262,7
51694,45,30859,18808,30180,3
29398,28,16611,4851,12948,1
82357,59,75581,35451,46547,5
83024,64,78175,48089,45825,5
35248,26,17491,2676,13917,1
12032,27,13541,3687,11513,1
26438,25,16417,3192,14593,1
14128,29,14574,2806,14258,1
26505,26,16061,4238,10409,1
50415,36,47591,16883,38758,2
59999,32,52840,15272,33857,2
34054,29,14571,3243,11666,1
72593,51,81715,46670,55814,7
54694,42,31390,17875,36625,4
91408,65,91239,38542,51809,8
44596,38,49275,18008,25121,3
40338,30,36541,17422,23692,5
70072,46,99528,40606,46883,8
26848,27,12984,4919,11026,1
51930,40,26813,13202,26002,4
37754,26,16597,4628,12324,1
53351,39,44646,13975,28019,2
70971,45,71315,35886,56713,8
74952,45,82851,38022,53005,8
84928,49,72423,40236,45299,7
16093,25,5785,3271,12852,1
47627,44,31106,12770,33263,2
71571,53,79117,33552,54831,5
87734,51,91112,33602,62701,5
57359,30,58507,14291,32366,4
33852,28,17174,3646,11428,1
15634,25,15942,4868,12488,1
30309,27,6433,2688,10526,1
23283,28,16711,2702,13190,1
60286,33,53393,14239,34924,5
52135,41,28976,17972,28049,2
64807,33,36404,13913,30078,2
42705,35,36294,15158,30775,2
77312,57,79169,32664,68952,6
47682,41,39790,13876,32754,3
69922,47,85130,36246,40564,7
22224,25,18312,2513,10356,1
38521,25,6500,3935,12151,1
49506,41,56905,14060,25191,5
27236,27,14692,3133,10409,1
88499,55,95636,38877,62011,7
27731,27,5423,3700,13859,1
49174,36,51743,18394,32956,5
82296,51,71874,39503,66960,5
83691,49,80506,31152,58009,7
16710,27,15739,3039,13286,1
16775,27,16951,4567,10697,1
41399,43,53544,17568,38604,3
16534,25,7055,2544,10276,1
74973,63,83572,45096,60974,8
43699,30,29686,15787,32126,5
55949,33,31165,12861,21462,5
28394,28,8205,3510,12053,1
80016,59,91623,45709,59656,8
12902,29,12346,3126,13080,1
65357,33,50157,12710,36882,2
71977,55,77686,45388,58665,7
31754,29,12280,4812,11377,1
38271,28,17061,4603,14969,1
76313,55,93628,45541,67310,6
74556,60,99688,43220,62146,5
41470,32,44713,16379,30379,3
73649,64,85228,43876,60853,5
23452,27,16924,4784,11648,1
31156,25,11415,2589,13502,1
29339,27,9486,3655,11523,1
72628,62,98356,41654,53282,8
65322,45,40329,12534,25503,3
25566,26,10928,2997,13976,1
80162,50,65273,46607,60087,5
51970,39,50340,15189,39424,5
15593,27,14947,4301,11943,1
36540,28,19550,2693,15040,1
19235,26,15893,2871,14118,1
33392,27,13314,3359,12025,1
77028,49,78058,36735,56155,7
71303,46,79748,32604,52607,5
87366,61,89354,39999,54697,6
42393,35,48208,15608,33639,4
42880,33,57357,19563,37090,5
34923,28,11072,4233,10344,1
29849,28,9755,3191,14026,1
87620,45,89657,34557,55800,7
62912,36,48022,18479,26027,4
80928,47,71424,43044,65860,6
38143,29,19299,4204,14868,1
56116,35,55667,18486,26914,4
22796,28,14525,3159,14777,1
38583,29,18428,3301,11459,1
68853,64,75932,39264,65011,6
14873,26,18833,3465,12620,1
38976,28,11830,4323,13898,1
47030,31,47914,13636,36593,4
14082,29,12839,2681,10650,1
36633,26,16797,3371,10099,1
78328,58,92203,44532,62139,6
54035,45,34167,14412,34389,3
73410,64,86850,34535,67750,8
39589,32,59171,12990,22854,4
88524,56,69548,45261,59673,6
81479,51,68214,31417,62318,6
45999,40,47576,14164,21751,4
46429,38,41611,18544,23306,5
79752,59,77134,37731,53055,6
40519,31,59510,13574,38288,2
73224,56,80120,33736,50433,7
67860,56,98305,33579,52224,5
32642,27,13028,3632,11364,1
64927,38,34513,16624,31635,2
81437,57,93782,45996,46197,6
92027,29,16354,15,45919,1
63459,35,32031,13268,27501,4
23828,29,12707,2781,11147,1
32452,25,16001,2637,13070,1
34846,27,12396,3938,13782,1
57289,45,54855,12246,32237,2
19123,27,14789,4493,12611,1
28420,28,17486,2557,11226,1
18175,26,5612,4723,13358,1
65205,34,36530,16940,34455,4
61412,30,52540,16485,22169,5
44853,34,38240,14966,29856,5
79243,60,71502,34302,59583,8
65223,41,48562,14425,33960,3
31894,29,11985,4698,10963,1
54929,39,47502,19082,31512,4
50155,38,47003,16870,35584,4
39525,42,25407,13495,20210,2
56530,43,41304,14559,27231,3
44466,45,31353,13942,37864,2
80357,50,69204,32773,59122,6
15760,25,7195,3972,12799,1
21443,25,11448,2758,10381,1
64489,33,53986,14533,36976,5
50673,35,58637,19816,24638,2
34530,28,5065,4644,11995,1
70090,65,79570,39705,42643,6
73025,56,77131,49228,46416,6
47600,44,26828,12991,25884,3
81540,60,84398,45614,45866,7
34884,28,16375,4806,12597,1
42223,40,40816,16270,23060,2
62236,31,39908,18523,38243,5
42941,40,34461,17590,22847,3
14217,27,11687,4034,14370,1
64862,34,37223,17950,31402,4
36512,26,8720,3806,10349,1
71033,45,83315,37820,67189,6
15297,26,12350,4570,10919,1
73259,50,73786,30076,60750,5
12692,28,14208,4332,11986,1
56428,39,42594,14811,39829,5
89112,61,87624,33009,48410,6
68932,50,94045,30809,44629,8
21398,26,16413,3700,12359,1
49448,37,59514,19618,25558,2
41982,41,55177,14653,21226,4
70912,56,81900,46240,56801,7
23353,29,6662,5004,10085,1
65345,34,38206,15509,32860,2
21107,27,15921,4493,12851,1
45857,41,59089,12608,27902,3
44101,32,50971,13094,32903,5
74210,59,68689,37869,44079,6
52614,30,51588,14319,33945,4
67008,61,72058,48382,50034,7
41126,34,29064,17795,25416,5
15341,26,15510,3405,12834,1
71644,57,79559,45255,60268,5
23141,25,16458,2587,14430,1
