custid,debtinc,creddebt,othdebt,preloan,veh,house,selfemp,account,deposit,emp,address,branch,ref,age,gender,ms,child,zone,bad
1,12.34,13.26,5.88,2,2,1,2,1,2,18,12,1,2,2,1,2,2,7,1
2,18.65,2.12,5.13,1,2,1,1,2,1,11,7,1,2,2,2,1,1,5,0
3,7.22,3.31,3.65,1,1,2,1,1,1,16,15,1,1,1,1,2,1,15,0
4,6.15,2.95,2.34,1,1,2,1,1,2,15,14,2,1,2,1,1,1,3,0
5,20.64,2.67,4.07,2,2,1,1,1,1,2,1,2,2,2,2,1,1,20,0
6,12.44,3.06,2.57,2,2,2,1,1,2,5,5,1,2,1,2,1,1,5,0
7,34.21,6.51,17.62,2,2,1,2,2,2,21,10,2,2,2,1,2,1,3,0
8,8.27,2.38,3.09,1,2,1,1,1,2,12,12,2,1,1,2,1,1,1,0
9,26.67,3.41,4.22,2,2,2,2,2,2,3,4,2,2,2,1,2,1,8,0
10,19.81,2.81,4.06,2,2,1,1,1,1,1,13,1,2,2,1,2,1,17,0
11,3.05,1.58,1.22,1,2,2,2,1,2,0,1,1,1,1,2,2,2,20,0
12,6.01,2.82,1.44,1,2,2,1,1,1,4,0,2,1,1,1,1,1,19,0
13,13.65,4.03,3.57,2,1,1,1,1,1,24,15,1,2,1,1,1,1,2,0
14,20.99,3.69,3.88,2,2,1,2,2,1,7,9,2,2,2,1,2,1,11,0
15,13.26,4.32,5.81,2,1,1,2,2,2,23,16,2,1,2,2,2,1,18,0
16,8.65,2.51,3.97,1,2,2,1,2,2,9,6,1,2,1,2,2,1,20,0
17,20.64,5.34,0,2,1,1,2,1,1,13,7,1,1,2,2,2,1,9,1
18,12.24,1.73,5.32,2,1,2,2,1,2,23,19,2,1,1,1,2,2,19,0
19,10.55,1.83,3.02,2,1,2,2,1,1,6,9,2,1,2,1,1,1,10,0
20,2.79,2.04,1.77,1,2,2,2,1,2,1,21,2,1,1,2,2,2,10,0
21,3.82,1.53,0.83,2,2,1,1,2,1,22,4,2,1,3,2,2,2,20,0
22,10.28,1.01,3.26,2,2,2,1,1,1,17,22,1,1,3,1,2,2,7,0
23,11.82,1.47,2.89,2,2,2,2,2,1,3,6,2,1,1,2,2,2,14,0
24,13.55,2.58,2.69,1,2,1,1,1,1,8,7,2,1,2,2,2,2,15,0
25,20.33,1.45,3.21,2,1,2,2,1,2,2,3,1,2,2,1,1,1,3,1
26,20.98,3.99,4.31,1,2,2,2,1,2,1,3,1,1,2,2,2,1,3,0
27,7.6,3.18,5.41,2,2,2,1,2,2,10,27,2,1,2,2,1,1,13,0
28,18.31,2.09,11.56,2,2,1,1,2,2,25,22,2,2,1,1,1,1,18,0
29,23.23,6.01,8.52,2,2,2,2,2,2,13,8,2,1,1,1,2,1,13,0
30,18.37,2.96,6.08,2,1,2,1,1,2,3,1,1,2,1,2,1,1,14,0
31,5.13,1.24,1.99,2,2,1,1,1,2,4,16,2,1,2,2,2,2,9,0
32,15.04,3.93,3.15,1,1,1,1,1,1,2,10,2,1,3,1,1,1,10,0
33,10.21,2.96,0.93,2,1,2,1,1,1,3,7,1,2,3,2,1,1,18,0
34,16.79,1.96,4.24,1,2,1,1,1,2,8,5,2,2,1,1,2,1,4,0
35,3.96,2.12,2.79,1,2,1,1,1,1,9,1,2,2,2,2,1,1,10,0
36,26.53,6.61,7,2,2,2,1,2,1,7,7,1,1,3,2,2,2,9,0
37,20.94,2.89,2.46,2,1,2,1,1,2,10,5,1,2,2,2,1,1,2,0
38,15.59,5.75,5.74,2,2,1,2,1,1,13,1,2,1,3,2,1,1,20,0
39,20.79,3.66,4.64,2,2,1,1,1,1,1,8,1,2,3,2,1,1,14,1
40,4.32,2.39,3.42,2,2,2,2,1,1,24,6,1,1,2,2,1,1,17,0
41,10.28,1.99,3.4,2,1,2,1,1,1,8,3,2,1,1,1,1,1,5,0
42,9.92,4.47,3.11,2,1,1,1,1,1,17,4,2,2,3,2,2,2,7,0
43,8.38,1.52,2.69,1,1,2,2,2,2,7,24,1,1,2,2,2,2,17,0
44,13.42,2.6,5.11,2,1,2,2,1,2,20,6,1,1,2,2,1,1,8,0
45,11.66,2.36,1.17,1,1,1,1,2,2,1,0,2,1,1,2,1,1,3,0
46,9.75,0.24,1.13,2,1,1,1,1,1,1,1,1,1,3,2,2,2,8,0
47,6.26,2.43,1.94,2,2,2,2,2,1,14,15,2,1,1,2,1,1,1,0
48,11.01,0.54,3.88,2,1,2,1,2,2,5,2,1,2,2,1,1,1,6,0
49,15.42,1.94,2.63,1,2,2,2,1,2,1,2,1,1,2,1,2,1,15,1
50,9.39,0.47,4.13,1,2,1,1,2,2,18,3,1,2,3,1,1,1,10,0
51,16.59,1.56,3.93,2,2,2,1,2,2,2,11,1,1,1,1,2,1,9,0
52,17.24,1.2,3.87,2,2,1,1,1,2,1,12,1,2,1,2,2,1,20,0
53,13.66,3.23,4.54,2,1,1,2,1,2,17,19,1,2,3,1,2,2,2,0
54,8.21,2.93,0.87,1,1,1,2,2,2,4,19,1,1,3,1,1,1,11,0
55,13.43,0.71,3.95,2,2,2,1,1,2,4,3,1,2,1,1,2,1,10,0
56,20.08,2.33,2.7,1,1,2,1,1,2,2,3,1,2,2,1,2,2,8,0
