Customer_ID,Age,Channel,Prior_Policy,Vintage_Months,Quarter,Premium_Band,Payment_Plan,Dependents,Lapsed_1yr
EU100000,63,Online,0,1,Q3,Moderate,Quarterly,4,0
EU100001,53,Agent,1,55,Q4,Moderate,Monthly,1,0
EU100002,39,Agent,0,5,Q1,Moderate,Annual,3,0
EU100003,67,Agent,1,2,Q2,Moderate,Annual,1,0
EU100004,32,Online,1,46,Q1,High,Monthly,3,0
EU100005,45,Agent,0,11,Q2,Moderate,Monthly,4,0
EU100006,63,Online,0,9,Q3,High,Monthly,1,0
EU100007,43,Online,0,8,Q3,Moderate,Monthly,2,0
EU100008,47,Online,0,58,Q4,Moderate,Monthly,1,0
EU100009,35,Agent,1,39,Q2,Moderate,Quarterly,3,0
EU100010,35,Online,0,15,Q2,Low,Quarterly,1,1
EU100011,48,Agent,0,9,Q4,Low,Quarterly,1,0
EU100012,60,Agent,1,42,Q1,High,Monthly,3,0
EU100013,64,Agent,1,50,Q1,Low,Quarterly,0,0
EU100014,48,Agent,0,30,Q1,Moderate,Annual,1,0
EU100015,27,Agent,0,29,Q3,Moderate,Quarterly,5,1
EU100016,46,Agent,0,51,Q2,High,Quarterly,5,0
EU100017,26,Agent,1,25,Q3,Moderate,Annual,2,0
EU100018,48,Agent,0,22,Q2,High,Annual,1,0
EU100019,68,Agent,0,34,Q2,High,Monthly,4,0
EU100020,54,Agent,1,22,Q4,Low,Annual,0,0
EU100021,62,Online,0,46,Q3,Moderate,Annual,2,0
EU100022,26,Agent,0,30,Q1,Moderate,Quarterly,5,0
EU100023,45,Agent,1,53,Q1,Moderate,Monthly,4,0
EU100024,57,Agent,0,10,Q3,Low,Quarterly,2,0
EU100025,36,Agent,0,5,Q4,Low,Quarterly,0,0
EU100026,46,Agent,0,5,Q2,Moderate,Monthly,0,0
EU100027,68,Agent,1,2,Q3,Low,Quarterly,2,0
EU100028,49,Online,1,30,Q1,Moderate,Annual,2,0
EU100029,51,Online,1,22,Q4,Low,Monthly,3,0
EU100030,66,Online,0,13,Q2,Low,Annual,4,0
EU100031,52,Online,0,39,Q4,High,Quarterly,2,0
EU100032,40,Online,1,25,Q3,Low,Quarterly,4,1
EU100033,39,Online,1,53,Q1,Low,Monthly,0,0
EU100034,68,Online,1,27,Q2,Moderate,Quarterly,0,0
EU100035,27,Agent,1,47,Q4,Moderate,Quarterly,5,0
EU100036,61,Agent,1,27,Q3,Low,Quarterly,2,0
EU100037,31,Agent,0,21,Q3,Moderate,Monthly,4,0
EU100038,45,Agent,0,31,Q1,Moderate,Monthly,0,0
EU100039,33,Online,1,15,Q3,Moderate,Monthly,5,0
EU100040,63,Agent,0,57,Q4,High,Quarterly,3,0
EU100041,42,Online,0,38,Q3,Low,Monthly,4,0
EU100042,28,Agent,1,39,Q3,High,Monthly,4,0
EU100043,49,Agent,0,36,Q4,High,Annual,4,0
EU100044,38,Agent,0,36,Q3,High,Monthly,4,0
EU100045,33,Agent,1,1,Q1,High,Monthly,4,1
EU100046,50,Agent,0,11,Q2,Low,Monthly,3,0
EU100047,26,Agent,0,5,Q2,High,Annual,5,0
EU100048,44,Agent,0,34,Q3,Moderate,Monthly,0,0
EU100049,52,Agent,1,37,Q1,Low,Monthly,4,0
EU100050,31,Online,0,5,Q3,Moderate,Quarterly,5,1
EU100051,68,Agent,1,20,Q3,Moderate,Quarterly,4,0
EU100052,32,Agent,0,45,Q3,Moderate,Monthly,4,0
EU100053,59,Agent,0,44,Q3,High,Monthly,5,0
EU100054,38,Agent,1,42,Q2,Moderate,Monthly,0,0
EU100055,41,Agent,0,13,Q3,Low,Quarterly,2,0
EU100056,60,Agent,0,9,Q3,Low,Monthly,0,0
EU100057,64,Agent,1,5,Q3,Moderate,Quarterly,4,0
EU100058,28,Online,0,38,Q2,Low,Quarterly,0,1
EU100059,26,Agent,1,32,Q1,Moderate,Monthly,1,0
EU100060,30,Agent,0,30,Q1,Low,Quarterly,2,0
EU100061,66,Agent,1,49,Q1,Low,Quarterly,3,0
EU100062,28,Agent,1,28,Q1,Low,Quarterly,1,0
EU100063,53,Agent,0,37,Q1,Low,Monthly,4,0
EU100064,42,Online,0,28,Q4,Moderate,Annual,3,0
EU100065,50,Online,0,57,Q3,Low,Monthly,5,0
EU100066,68,Agent,1,60,Q3,High,Quarterly,3,0
EU100067,58,Online,1,43,Q1,Moderate,Monthly,2,0
EU100068,34,Agent,0,6,Q4,Moderate,Quarterly,0,1
EU100069,60,Online,0,41,Q2,Moderate,Monthly,5,1
EU100070,38,Online,0,44,Q4,Moderate,Monthly,0,1
EU100071,55,Online,1,29,Q3,Moderate,Monthly,0,0
EU100072,39,Agent,1,4,Q1,High,Monthly,0,0
EU100073,32,Agent,0,18,Q4,Low,Monthly,1,1
EU100074,38,Agent,1,15,Q2,High,Quarterly,4,0
EU100075,47,Agent,0,25,Q1,High,Annual,3,0
EU100076,64,Agent,1,4,Q2,High,Annual,5,0
EU100077,45,Agent,0,14,Q1,Low,Monthly,4,0
EU100078,40,Agent,1,59,Q3,Low,Annual,4,0
EU100079,69,Online,1,50,Q1,Moderate,Annual,2,0
EU100080,42,Agent,1,17,Q1,High,Monthly,5,1
EU100081,48,Online,1,34,Q1,Low,Annual,2,0
EU100082,50,Agent,0,53,Q1,Moderate,Monthly,2,0
EU100083,49,Online,1,19,Q4,Low,Monthly,2,0
EU100084,69,Agent,1,29,Q4,High,Monthly,0,0
EU100085,65,Agent,0,22,Q4,High,Quarterly,3,0
EU100086,53,Online,0,14,Q1,Low,Monthly,0,0
EU100087,39,Agent,1,36,Q2,Low,Monthly,4,0
EU100088,69,Agent,0,2,Q4,Moderate,Quarterly,5,0
EU100089,25,Agent,0,45,Q3,Moderate,Quarterly,0,0
EU100090,49,Agent,1,7,Q4,Moderate,Monthly,3,0
EU100091,31,Agent,0,28,Q4,High,Annual,3,0
EU100092,33,Agent,1,59,Q3,High,Monthly,4,0
EU100093,48,Online,0,54,Q3,Moderate,Quarterly,5,0
EU100094,25,Online,0,8,Q2,Low,Quarterly,1,0
EU100095,68,Agent,1,29,Q1,Low,Quarterly,4,0
EU100096,32,Online,1,10,Q3,Moderate,Annual,4,0
EU100097,48,Agent,1,21,Q2,Moderate,Annual,5,0
EU100098,35,Agent,1,35,Q1,Low,Quarterly,0,0
EU100099,41,Agent,0,4,Q3,Low,Monthly,2,0
EU100100,32,Online,1,53,Q2,Moderate,Quarterly,1,0
EU100101,59,Agent,1,21,Q2,Moderate,Monthly,2,0
EU100102,59,Online,1,38,Q4,Moderate,Monthly,4,0
EU100103,57,Agent,1,25,Q3,Low,Quarterly,1,1
EU100104,29,Online,1,20,Q1,Low,Quarterly,5,1
