Date,Price,Volume
2021-01-01,14018.5,258090905
2021-01-04,14132.9,494999295
2021-01-05,14199.5,492475349
2021-01-06,14146.25,632323316
2021-01-07,14137.35,559173512
2021-01-08,14347.25,613472067
2021-01-11,14484.75,672878543
2021-01-12,14563.45,929566952
2021-01-13,14564.85,873956688
2021-01-14,14595.6,620194977
2021-01-15,14433.7,789557216
2021-01-18,14281.3,762043554
2021-01-19,14521.15,546108304
2021-01-20,14644.7,623069963
2021-01-21,14590.35,704646957
2021-01-22,14371.9,776750347
2021-01-25,14238.9,618631493
2021-01-27,13967.5,660711117
2021-01-28,13817.55,637871621
2021-01-29,13634.6,753206122
2021-02-01,14281.2,870529495
2021-02-02,14647.85,914965225
2021-02-03,14789.95,869477087
2021-02-04,14895.65,884686415
2021-02-05,14924.25,935629058
2021-02-08,15115.8,671242694
2021-02-09,15109.3,713279133
2021-02-10,15106.5,624791133
2021-02-11,15173.3,500122414
2021-02-12,15163.3,571808807
2021-02-15,15314.7,455959720
2021-02-16,15313.45,648545320
2021-02-17,15208.9,504767226
2021-02-18,15118.95,770629541
2021-02-19,14981.75,712213821
2021-02-22,14675.7,609898454
2021-02-23,14707.8,744092809
2021-02-24,14982.0,403754669
2021-02-25,15097.35,803883875
2021-02-26,14529.15,1103644519
2021-03-01,14761.55,507302977
2021-03-02,14919.1,621723916
2021-03-03,15245.6,544205583
2021-03-04,15080.75,534850447
2021-03-05,14938.1,640700362
2021-03-08,14956.2,580308065
2021-03-09,15098.4,675271251
2021-03-10,15174.8,404585756
2021-03-12,15030.95,493238854
2021-03-15,14929.5,467473367
2021-03-16,14910.45,437651327
2021-03-17,14721.3,479352147
2021-03-18,14557.85,542216908
2021-03-19,14744.0,919178208
2021-03-22,14736.4,458997059
2021-03-23,14814.75,474150088
2021-03-24,14549.4,456403503
2021-03-25,14324.9,606820996
2021-03-26,14507.3,481000845
2021-03-30,14845.1,594520567
2021-03-31,14690.7,436874691
2021-04-01,14867.35,430028476
2021-04-05,14637.8,500476690
2021-04-06,14683.5,474211156
2021-04-07,14819.05,476382016
2021-04-08,14873.8,503728173
2021-04-09,14834.85,498347599
2021-04-12,14310.8,638475842
2021-04-13,14504.8,588666016
2021-04-15,14581.45,556851211
2021-04-16,14617.85,568568743
2021-04-19,14359.45,503142904
2021-04-20,14296.4,456704716
2021-04-22,14406.15,516985252
2021-04-23,14341.35,476613608
2021-04-26,14485.0,448533329
